Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
2812,000;94,323529;236,36611;80,88411;155,73086;-49,474302;119,89979;808,7851;74,075745;101,05766;
2810,000;105,87991;247,7711;58,721328;-11,05922;43,68554;66,008803;13,586646;28,7997;123,05254;
2808,000;-45,382073;76,169592;116,76718;2,0891404;115,18446;129,64955;615,88125;122,85576;55,644801;
2806,000;-60,701571;21,971428;8,6137439;46,618275;-20,46072;-43,577192;361,6534;35,923033;13,672015;
2804,000;51,053877;216,37621;-8,1980901;-38,450201;37,265237;41,059577;-196,95201;13,24964;138,92258;
2802,000;55,934222;145,19465;110,86983;100,8622;40,022094;4,4748689;246,66282;157,54775;61,460806;
2800,000;28,147384;153,01795;83,109889;19,014402;120,54065;104,89715;-252,99746;23,02605;10,063838;
2798,000;131,1003;153,8207;169,25964;69,528871;43,627401;40,438412;62,580154;150,65653;64,261723;
2796,000;64,307597;105,45421;130,34984;-4,673902;194,59136;-24,359942;187,19919;93,980103;69,57729;
2794,000;94,788885;180,99617;194,4276;85,796633;176,67271;144,38913;102,74744;88,874105;-8,9027913;
2792,000;9,6313977;73,144091;49,738914;30,868728;164,92964;23,865656;276,36742;46,346805;185,16818;
2790,000;39,017547;104,43137;73,785633;105,72388;117,75297;19,347927;-213,75503;42,649942;92,00243;
2788,000;-26,986948;152,74977;-14,717075;-78,321272;65,215084;8,5949841;237,41831;115,07061;217,10629;
2786,000;91,333602;217,91065;174,17889;57,208331;41,424793;37,606831;158,82451;124,937;30,416903;
2784,000;77,589801;194,60319;68,289448;174,21989;5,083864;52,525979;212,30055;77,926998;141,65558;
2782,000;201,46076;247,70104;105,47608;50,188552;96,059818;31,609654;-3,7087724;75,280493;166,619;
2780,000;103,44626;187,06807;242,51737;71,373093;241,73593;113,96247;-173,47218;26,808357;140,97294;
2778,000;92,226833;228,81396;176,4734;60,770668;97,296553;80,990878;26,315066;37,265081;73,374846;
2776,000;65,600778;125,754;39,25901;196,66565;106,91127;79,284151;34,920534;35,138888;160,82662;
2774,000;-72,151193;155,57307;91,312538;117,37567;23,884726;22,940374;113,5484;94,381444;192,66239;
2772,000;46,120015;52,98415;215,67125;121,90287;149,71775;-33,946853;572,19738;79,20934;130,65839;
