Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
2622,000;77,177992;114,23077;50,739565;-18,86668;54,123406;
2620,000;60,740079;28,956451;69,548857;33,176279;70,236583;
2618,000;7,8019724;104,25047;53,038684;24,312333;112,93835;
2616,000;44,905198;47,273002;118,66493;3,5965863;76,082157;
2614,000;52,047247;37,989781;49,369168;104,42651;69,844518;
2612,000;19,105292;26,814568;9,9168211;79,906317;98,420933;
2610,000;52,310057;68,523948;14,680657;40,922407;47,477774;
2608,000;15,834798;116,02918;59,127347;101,10091;115,95916;
2606,000;52,742752;-6,2216536;71,210156;58,88041;78,911048;
2604,000;62,281398;56,419041;90,71159;-2,8899641;83,378107;
2602,000;-35,714444;140,11095;37,436226;95,482646;40,815924;
2600,000;61,824209;79,099054;67,543136;59,785883;39,73252;
2598,000;19,215937;98,506782;70,638165;12,242155;61,865587;
2596,000;69,015092;120,65115;56,466087;36,532293;49,983978;
2594,000;51,005513;154,73483;106,9458;78,177501;26,366903;
2592,000;7,3521975;101,76583;72,621413;84,04199;59,647228;
2590,000;54,215612;118,39354;101,7249;112,31528;69,187646;
2588,000;22,875224;132,65814;49,444688;139,04338;129,68037;
2586,000;84,254686;108,29248;143,63501;198,04136;66,100242;
2584,000;76,242494;79,860815;118,67915;68,165776;78,500615;
2582,000;76,193035;38,689592;83,663691;56,476913;54,992063;
2580,000;-7,6360465;43,496611;95,085095;47,729623;80,377459;
2578,000;15,550744;184,62967;103,04157;130,36154;55,904297;
2576,000;71,754308;103,43975;93,206767;43,653535;93,292675;
2574,000;29,193134;121,88851;109,12285;55,474344;131,82872;
2572,000;52,446423;131,09548;69,568149;7,1413559;103,59155;
2570,000;36,016114;145,04719;15,737466;56,484085;48,868491;
2568,000;73,230711;192,33949;30,029441;58,901534;60,373612;
2566,000;70,315689;169,7955;12,017055;55,108346;66,649126;
2564,000;68,844647;120,83365;110,35293;61,374365;109,5365;
2562,000;85,363048;159,94117;56,554759;13,125296;44,571997;
2560,000;43,855241;90,338943;19,530408;35,442468;54,917206;
2558,000;67,643707;98,111444;59,142556;46,008026;22,70556;
2556,000;30,207626;102,69572;115,45947;92,43445;57,329732;
2554,000;58,374071;118,5944;66,617216;125,86246;18,830187;
2552,000;47,557431;113,90618;121,18726;24,609369;100,14455;
