Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
2780,000;-21,309806;155,54859;259,04778;109,80957;235,6068;
2778,000;-7,4513758;190,15837;281,24116;119,98231;184,03418;
2776,000;49,083756;249,9357;111,64263;226,49432;276,32596;
2774,000;4,7736856;180,64197;224,05666;217,98595;118,86386;
2772,000;28,060152;183,12837;135,00457;151,07562;219,96156;
2770,000;-7,5700347;76,077224;265,70175;291,99395;406,7959;
2768,000;61,774707;212,25688;279,35264;134,5945;318,72563;
2766,000;20,520082;216,16774;234,27362;208,67686;299,95209;
2764,000;-19,890299;275,61623;188,92872;272,57566;341,03001;
2762,000;-37,955215;343,56984;228,75979;325,91616;191,90448;
2760,000;6,2356075;409,04903;344,21669;212,74217;379,27918;
2758,000;-84,334147;276,01549;269,46432;170,66608;373,95127;
2756,000;-103,88395;221,9851;292,71778;250,00391;340,72571;
2754,000;-5,3129452;227,41749;158,31259;226,52391;323,08596;
2752,000;-46,005915;219,41311;260,66827;274,69845;282,03178;
2750,000;-74,145917;158,8545;204,05102;125,40409;316,5419;
2748,000;-126,34464;236,37713;130,45097;288,85812;125,51051;
2746,000;-1,140441;156,89844;147,57389;136,29515;76,372219;
2744,000;-26,604081;222,78335;85,920133;212,76352;279,98212;
2742,000;-82,841183;272,63808;163,22121;175,6081;207,46643;
2740,000;-40,700919;165,15073;34,340762;207,39588;255,38052;
2738,000;-151,62982;161,73368;101,53805;112,09378;234,1457;
2736,000;-19,219993;296,15571;222,53803;254,67398;139,05578;
2734,000;-87,899412;239,32372;15,700234;127,2189;185,90576;
2732,000;-12,783983;103,35747;191,50901;181,24817;109,18169;
2730,000;54,524206;141,02567;41,624895;185,01328;61,646369;
2728,000;15,715574;80,69785;128,99403;166,68901;203,68974;
2726,000;39,573876;143,54116;161,23131;123,03231;219,17135;
2724,000;22,545102;171,05661;46,273328;132,04875;121,00569;
2722,000;113,24796;169,42242;-13,352025;51,078715;133,22274;
2720,000;36,163926;117,8207;60,212095;80,650145;91,061108;
2718,000;-18,29708;242,17235;299,85896;141,38036;69,663994;
2716,000;1,7626818;189,03944;258,72706;86,081097;294,45863;
2714,000;-34,010539;112,7988;165,8055;103,7944;247,24201;
2712,000;27,586734;105,77952;150,9124;165,16273;181,8134;
2710,000;35,148095;128,9564;16,092305;128,29114;219,84578;
2708,000;-6,6755199;122,51472;129,27489;75,076004;189,68116;
2706,000;3,970942;101,62271;104,3027;147,55454;113,10195;
2704,000;-7,7171585;156,54062;65,647726;116,56877;147,26155;
2702,000;-45,694706;85,430318;134,61717;137,31982;103,65637;
2700,000;5,5670389;64,619081;50,478904;-0,99784942;132,77172;
2698,000;43,958818;117,28046;23,662822;35,742982;208,49148;
2696,000;-60,952918;28,221068;-7,9831528;-17,221179;102,93539;
2694,000;32,30318;71,009677;-17,995424;93,672897;124,60549;
2692,000;-43,95398;35,621482;11,206925;30,502172;113,94015;
2690,000;-39,88843;28,641248;63,310426;95,48702;160,27412;
2688,000;-11,606935;14,056001;60,608679;121,48466;37,102343;
2686,000;-25,617013;-17,334101;108,24017;68,973391;145,42012;
2684,000;-66,989819;-120,60949;17,955701;75,925448;10,593026;
2682,000;44,348152;-20,416287;-10,990502;-17,738263;82,281323;
2680,000;11,017935;93,940179;47,01113;22,824497;-24,28026;
2678,000;-65,54587;-45,423581;38,661798;-8,8038939;-12,894317;
2676,000;8,6343424;-7,6562926;-19,317793;102,30161;39,043715;
2674,000;-42,132205;-6,1924231;112,08646;59,843849;76,615514;
2672,000;20,805588;52,705713;35,825114;6,3146737;71,526369;
2670,000;7,5271496;-2,3175214;-11,119998;-32,992864;27,803873;
2668,000;30,245486;12,622746;65,627679;46,055243;35,855782;
2666,000;98,687124;-43,665192;113,2744;26,582734;27,23094;
2664,000;27,677038;35,471775;70,707876;16,459981;88,172482;
2662,000;38,820209;2,5414416;13,988259;1,5717745;45,276584;
2660,000;-5,1586807;79,659404;30,77043;-31,838401;43,340506;
2658,000;43,040245;23,047782;26,712081;-15,344796;59,133765;
2656,000;-51,493377;25,841134;-7,4244802;-10,711589;114,12979;
2654,000;-4,4100685;28,686398;23,098652;-12,533055;69,129148;
2652,000;-7,894499;-34,361925;19,739122;7,9178287;34,316783;
2650,000;-31,30269;1,9133332;61,002761;90,497872;82,201754;
2648,000;6,3320977;-49,320321;-12,865479;65,706388;158,46192;
2646,000;-69,547141;63,282838;-8,2744611;16,349712;89,828013;
2644,000;-45,687494;33,126993;17,904203;-6,1318932;-13,312855;
2642,000;-41,162485;44,694231;-2,2748243;87,447059;33,299831;
2640,000;18,40016;10,643015;150,72671;-19,020698;93,433998;
2638,000;-8,1346626;38,840326;64,157873;79,058376;72,613819;
2636,000;-31,535495;67,43039;23,447947;43,361634;106,6267;
2634,000;23,599136;88,571286;53,219273;25,630571;108,07784;
2632,000;-20,078068;32,642968;22,548298;-4,661327;116,08904;
2630,000;-55,860478;53,670124;34,6879;14,280952;37,9021;
2628,000;-36,671184;34,504502;103,98078;19,699179;-16,444879;
2626,000;-36,771733;80,73331;134,79848;49,200509;147,91332;
2624,000;30,894358;107,25974;-28,903475;79,002387;145,60691;
2622,000;14,489234;56,621252;83,762581;-40,457815;117,89402;
2620,000;-1,7209447;55,439566;-23,489184;12,735016;103,70458;
2618,000;-54,431318;32,886632;-10,835719;-11,70015;84,502332;
2616,000;-17,100358;17,661775;132,84549;26,900339;51,59249;
2614,000;-9,7305744;108,49312;110,57918;50,656247;46,617329;
2612,000;-42,444795;117,36138;47,287095;22,368635;44,403222;
2610,000;-9,0122964;86,945269;61,155483;29,62279;-15,447365;
2608,000;-45,259821;102,20944;39,933877;35,421129;62,95934;
2606,000;-8,1241325;119,04016;127,51845;60,570479;118,01141;
2604,000;1,6422478;90,705853;77,35759;96,480735;38,58077;
2602,000;-96,12586;98,751744;50,17605;16,317261;79,016882;
2600,000;1,6405276;101,74784;96,927422;3,8704961;97,470161;
2598,000;-40,740011;130,26005;34,816256;64,686949;116,88791;
2596,000;9,2868787;51,136138;86,382513;33,908535;65,759746;
2594,000;-8,4949659;127,26492;103,46791;23,272738;130,42034;
2592,000;-51,920547;138,57285;57,401585;36,30276;48,562605;
2590,000;-4,8293989;141,15329;110,73543;85,845094;116,1818;
2588,000;-35,942053;140,035;61,442061;62,738493;87,963131;
2586,000;25,665143;98,491605;75,04343;39,799867;175,16363;
2584,000;17,880686;160,43429;75,311194;36,59674;155,98423;
2582,000;18,058961;69,946466;78,940259;99,058947;132,91526;
2580,000;-65,542386;93,452973;102,15385;117,30547;94,410798;
2578,000;-42,127862;113,75335;22,9692;71,307538;187,94024;
2576,000;14,303437;100,24407;158,04642;81,635293;86,999997;
2574,000;-28,030003;138,6444;80,932357;76,34012;135,50605;
2572,000;-4,5489792;110,66698;46,95173;24,567962;87,323941;
2570,000;-20,751555;133,4339;35,733629;-15,174433;107,59507;
2568,000;16,690776;151,02224;62,228271;60,43301;118,61324;
2566,000;14,003489;80,150614;45,735551;16,944732;62,711293;
2564,000;12,760181;72,9632;112,7409;30,304503;149,66669;
2562,000;29,506317;67,219943;20,40505;44,764268;102,75436;
2560,000;-11,773756;86,741799;32,961778;53,328026;41,114615;
2558,000;12,242444;2,4642025;41,710633;-16,575242;103,7184;
2556,000;-24,965903;63,845186;30,586712;-5,8318525;86,953956;
2554,000;3,4282763;11,728427;150,21807;40,075771;71,734546;
2552,000;-7,1606291;101,65956;45,063042;56,52446;105,19347;
2550,000;-3,4821669;40,015392;69,561161;64,278442;62,070891;
2548,000;7,116938;49,449961;55,137456;69,544294;52,259567;
2546,000;20,187375;138,53115;87,53953;101,52554;57,885766;
2544,000;-44,560982;64,974415;23,296549;70,768035;79,248493;
2542,000;-34,220714;49,880847;83,221394;32,719697;47,434343;
2540,000;4,388527;133,39234;21,869494;165,2149;116,60251;
2538,000;-16,566777;74,195145;92,694552;136,24579;1,7037212;
2536,000;-36,757638;55,06843;12,686187;98,030923;73,065799;
2534,000;-20,651168;66,210669;90,199611;57,259799;59,777674;
2532,000;-44,2247;28,576233;35,87031;54,988696;45,673642;
2530,000;-49,555754;102,37962;73,151741;58,24374;31,381361;
2528,000;37,103563;76,27739;61,801607;49,87869;76,013395;
2526,000;-15,92817;80,569908;65,944883;104,28025;50,552754;
2524,000;-8,6299781;37,539928;83,826871;43,388153;61,130207;
2522,000;-11,571402;37,105172;35,3428;-46,205215;46,024669;
2520,000;1,4146204;-8,6011346;52,620534;0,41502434;49,672667;
2518,000;-23,454161;64,185823;16,440004;36,366323;77,335691;
2516,000;25,827934;34,792718;27,587295;55,000084;134,51975;
2514,000;-11,898064;39,139933;-10,739999;3,1688266;19,90385;
2512,000;18,44744;48,642061;36,675771;76,568363;-0,61866321;
2510,000;-28,678654;55,536757;56,43677;-37,734371;54,389157;
2508,000;-32,066507;58,950056;64,3946;62,22879;86,274152;
2506,000;-15,336716;0,78643411;34,185143;37,592178;17,033935;
2504,000;0,57658761;7,291365;8,9881394;55,447403;27,325257;
2502,000;-19,962962;40,544102;100,48577;-14,268285;46,175072;
2500,000;-0,053023775;58,011632;30,620406;13,010251;22,176427;
2498,000;-4,2257234;72,097828;37,318399;87,786718;76,057511;
2496,000;-33,233364;50,955825;13,141673;35,343094;75,908841;
2494,000;30,853924;16,932228;55,616679;44,607779;108,34131;
2492,000;-47,85313;118,79269;48,741464;1,1404891;47,31795;
2490,000;-68,935936;76,436725;45,273046;45,206706;28,381255;
2488,000;-69,721723;3,055169;4,0460347;54,465956;54,003265;
2486,000;-38,380086;73,131055;91,507751;36,429685;46,452385;
2484,000;-24,175931;32,90954;92,862267;52,425192;50,100831;
2482,000;-22,32543;57,980504;56,080266;61,358961;79,592114;
2480,000;-12,580928;96,114354;70,884277;62,127532;73,870829;
2478,000;-43,76034;44,870926;32,174868;54,807401;86,932145;
2476,000;-57,359054;36,451432;55,184606;24,652435;67,531877;
2474,000;-71,660883;54,19694;52,486109;85,141252;45,808218;
2472,000;6,4546316;26,8798;71,00444;73,590952;94,521141;
2470,000;10,216862;49,67325;49,852332;39,457647;84,785627;
2468,000;-16,305327;67,576656;33,094936;27,578764;13,20122;
2466,000;5,4098469;61,441766;39,689421;20,092795;44,802187;
2464,000;9,2339601;19,534929;55,1884;65,900551;113,99664;
2462,000;-1,4903316;28,546703;70,349244;37,077346;21,458276;
2460,000;5,3015417;21,529651;62,199273;4,7879196;24,607284;
2458,000;-8,6694715;56,204895;39,664746;5,7819944;33,137548;
2456,000;-5,2767642;41,693102;-18,031902;17,684389;55,057243;
2454,000;-17,297471;52,642712;15,580534;34,182871;77,848184;
2452,000;29,408254;41,90562;47,277209;0,3059355;86,319804;
2450,000;0,42497825;26,739331;37,856948;73,048087;100,44044;
2448,000;19,827602;38,24237;36,774554;11,203328;42,792325;
2446,000;-26,186859;58,554103;3,3812003;68,511381;8,2291473;
2444,000;-16,970185;41,957308;46,935299;64,159398;-23,62916;
2442,000;-20,615249;34,799548;-20,732404;63,089895;70,778275;
